Product,Land,GHG,Freshwater,Eutrophying
Grains,18.3,11.4,36.1,59.8
Pulses,19.4,6.8,12.7,39.4
Legumes,26.3,7.8,61.6,40.5
Oils,54.6,12.8,33.9,107.1
Vegetables,5.1,5.8,6.9,23.8
Fruit,8.5,6.1,10.3,20.1
Coffee,21.6,28.5,0.3,110.5
Dark Chocolate,69.0,46.7,5.4,87.1
Beef,369.5,132.8,41.7,666.7
Other Meat,399.4,61.9,42.6,222.2
Dairy,103.0,31.7,68.1,130.8
Seafood,11.4,40.5,72.1,462.3
