Product,Land,Feed,Farm,Processing,Transport,Packaging,Retail
Grains and Pulses,1.6,0,8.6,0.7,1.9,1.5,0.5
Produce and Oils,5.9,0,21,4.3,3.5,5.9,0.6
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1
Chocolate,14.3,0,3.7,0.2,0.1,0.4,0
Beef ,17.2,4.4,55.1,2.4,0.7,0.5,0.4
Other Meat,4.5,7.1,21.9,1.8,1.1,0.8,0.6
Dairy,5.7,4.7,15.9,0.8,0.3,0.5,0.6
Seafood,0.7,3.3,12,0,0.3,0.4,0.2
